,日期,星期,最高气温,最低气温
81,2019-03-23,星期六,16,7
82,2019-03-24,星期日,15,9
83,2019-03-25,星期一,14,10
84,2019-03-26,星期二,21,11
85,2019-03-27,星期三,21,12
86,2019-03-28,星期四,18,13
87,2019-03-29,星期五,19,11
88,2019-03-30,星期六,19,9
89,2019-03-31,星期日,15,8
90,2019-04-01,星期一,18,9
91,2019-04-02,星期二,16,12
92,2019-04-03,星期三,19,11
93,2019-04-04,星期四,15,13
94,2019-04-05,星期五,23,14
95,2019-04-06,星期六,26,15
96,2019-04-07,星期日,30,16
97,2019-04-08,星期一,28,17
98,2019-04-09,星期二,29,11
99,2019-04-10,星期三,12,10
100,2019-04-11,星期四,13,9
101,2019-04-12,星期五,19,12
102,2019-04-13,星期六,19,14
103,2019-04-14,星期日,19,7
104,2019-04-15,星期一,22,13
105,2019-04-16,星期二,19,13
106,2019-04-17,星期三,21,13
107,2019-04-18,星期四,28,18
108,2019-04-19,星期五,23,18
109,2019-04-20,星期六,25,19
110,2019-04-21,星期日,23,19
111,2019-04-22,星期一,19,19
112,2019-04-23,星期二,25,19
113,2019-04-24,星期三,24,18
114,2019-04-25,星期四,24,14
115,2019-04-26,星期五,16,11
116,2019-04-27,星期六,18,11
117,2019-04-28,星期日,18,16
118,2019-04-29,星期一,18,15
119,2019-04-30,星期二,15,14
120,2019-05-01,星期三,23,14
121,2019-05-02,星期四,25,14
122,2019-05-03,星期五,27,15
123,2019-05-04,星期六,28,17
124,2019-05-05,星期日,25,15
125,2019-05-06,星期一,19,14
126,2019-05-07,星期二,20,15
127,2019-05-08,星期三,21,15
128,2019-05-09,星期四,26,16
129,2019-05-10,星期五,26,17
130,2019-05-11,星期六,28,19
131,2019-05-12,星期日,29,18
132,2019-05-13,星期一,22,17
133,2019-05-14,星期二,22,18
134,2019-05-15,星期三,22,18
135,2019-05-16,星期四,23,20
136,2019-05-17,星期五,24,21
137,2019-05-18,星期六,23,20
138,2019-05-19,星期日,26,18
139,2019-05-20,星期一,25,17
140,2019-05-21,星期二,28,19
141,2019-05-22,星期三,31,20
142,2019-05-23,星期四,34,21
143,2019-05-24,星期五,32,23
144,2019-05-25,星期六,28,21
145,2019-05-26,星期日,22,20
146,2019-05-27,星期一,30,17
147,2019-05-28,星期二,26,18
148,2019-05-29,星期三,28,19
149,2019-05-30,星期四,25,20
150,2019-05-31,星期五,25,19
151,2019-06-01,星期六,23,19
152,2019-06-02,星期日,27,20
153,2019-06-03,星期一,29,20
154,2019-06-04,星期二,33,22
155,2019-06-05,星期三,31,25
156,2019-06-06,星期四,32,22
157,2019-06-07,星期五,26,20
158,2019-06-08,星期六,28,21
159,2019-06-09,星期日,29,22
160,2019-06-10,星期一,28,20
161,2019-06-11,星期二,27,20
162,2019-06-12,星期三,27,21
163,2019-06-13,星期四,23,20
164,2019-06-14,星期五,27,20
165,2019-06-15,星期六,31,23
166,2019-06-16,星期日,31,25
167,2019-06-17,星期一,30,22
168,2019-06-18,星期二,23,22
169,2019-06-19,星期三,25,22
170,2019-06-20,星期四,24,21
171,2019-06-21,星期五,23,21
172,2019-06-22,星期六,26,20
173,2019-06-23,星期日,27,21
174,2019-06-24,星期一,28,22
175,2019-06-25,星期二,25,22
176,2019-06-26,星期三,26,23
177,2019-06-27,星期四,29,24
178,2019-06-28,星期五,33,26
179,2019-06-29,星期六,31,25
180,2019-06-30,星期日,25,24
181,2019-07-01,星期一,25,23
182,2019-07-02,星期二,26,22
183,2019-07-03,星期三,27,23
184,2019-07-04,星期四,27,23
185,2019-07-05,星期五,29,23
186,2019-07-06,星期六,31,24
187,2019-07-07,星期日,33,24
188,2019-07-08,星期一,30,23
189,2019-07-09,星期二,23,22
190,2019-07-10,星期三,24,22
191,2019-07-11,星期四,28,23
192,2019-07-12,星期五,27,22
193,2019-07-13,星期六,22,21
194,2019-07-14,星期日,29,24
195,2019-07-15,星期一,30,24
196,2019-07-16,星期二,27,25
197,2019-07-17,星期三,33,26
198,2019-07-18,星期四,32,27
199,2019-07-19,星期五,30,26
200,2019-07-20,星期六,32,27
201,2019-07-21,星期日,34,28
202,2019-07-22,星期一,34,28
203,2019-07-23,星期二,36,29
204,2019-07-24,星期三,34,29
205,2019-07-25,星期四,35,29
206,2019-07-26,星期五,37,29
207,2019-07-27,星期六,34,29
208,2019-07-28,星期日,35,29
209,2019-07-29,星期一,37,29
210,2019-07-30,星期二,37,29
211,2019-07-31,星期三,35,28
212,2019-08-01,星期四,35,28
213,2019-08-02,星期五,34,28
214,2019-08-03,星期六,33,27
215,2019-08-04,星期日,29,26
216,2019-08-05,星期一,33,27
217,2019-08-06,星期二,34,27
218,2019-08-07,星期三,34,27
219,2019-08-08,星期四,34,28
220,2019-08-09,星期五,31,25
221,2019-08-10,星期六,28,26
222,2019-08-11,星期日,32,27
223,2019-08-12,星期一,34,27
224,2019-08-13,星期二,32,27
225,2019-08-14,星期三,34,27
226,2019-08-15,星期四,33,26
227,2019-08-16,星期五,34,27
228,2019-08-17,星期六,36,26
229,2019-08-18,星期日,33,26
230,2019-08-19,星期一,31,25
231,2019-08-20,星期二,31,25
232,2019-08-21,星期三,33,26
233,2019-08-22,星期四,32,26
234,2019-08-23,星期五,31,26
235,2019-08-24,星期六,31,27
236,2019-08-25,星期日,34,27
237,2019-08-26,星期一,35,28
238,2019-08-27,星期二,37,26
239,2019-08-28,星期三,32,23
240,2019-08-29,星期四,21,20
241,2019-08-30,星期五,30,23
242,2019-08-31,星期六,29,21
243,2019-09-01,星期日,21,20
244,2019-09-02,星期一,23,22
245,2019-09-03,星期二,26,23
246,2019-09-04,星期三,26,24
247,2019-09-05,星期四,31,26
248,2019-09-06,星期五,26,24
249,2019-09-07,星期六,31,22
250,2019-09-08,星期日,30,23
251,2019-09-09,星期一,30,24
252,2019-09-10,星期二,33,25
253,2019-09-11,星期三,31,25
254,2019-09-12,星期四,31,24
255,2019-09-13,星期五,31,25
256,2019-09-14,星期六,32,25
257,2019-09-15,星期日,28,23
258,2019-09-16,星期一,29,24
259,2019-09-17,星期二,30,23
260,2019-09-18,星期三,29,22
261,2019-09-19,星期四,27,21
262,2019-09-20,星期五,27,22
263,2019-09-21,星期六,21,20
264,2019-09-22,星期日,22,19
265,2019-09-23,星期一,27,18
266,2019-09-24,星期二,28,19
267,2019-09-25,星期三,28,20
268,2019-09-26,星期四,27,20
269,2019-09-27,星期五,27,21
270,2019-09-28,星期六,28,21
271,2019-09-29,星期日,27,22
272,2019-09-30,星期一,27,23
273,2019-10-01,星期二,25,22
274,2019-10-02,星期三,27,21
275,2019-10-03,星期四,29,23
276,2019-10-04,星期五,30,21
277,2019-10-05,星期六,26,19
278,2019-10-06,星期日,24,19
279,2019-10-07,星期一,25,19
280,2019-10-08,星期二,21,19
281,2019-10-09,星期三,23,19
282,2019-10-10,星期四,27,21
283,2019-10-11,星期五,25,21
284,2019-10-12,星期六,25,20
285,2019-10-13,星期日,25,20
286,2019-10-14,星期一,25,17
287,2019-10-15,星期二,18,16
288,2019-10-16,星期三,21,17
289,2019-10-17,星期四,21,17
290,2019-10-18,星期五,22,16
291,2019-10-19,星期六,23,16
292,2019-10-20,星期日,23,16
293,2019-10-21,星期一,22,17
294,2019-10-22,星期二,22,18
295,2019-10-23,星期三,23,18
296,2019-10-24,星期四,23,17
297,2019-10-25,星期五,23,16
298,2019-10-26,星期六,20,14
299,2019-10-27,星期日,18,15
300,2019-10-28,星期一,20,14
301,2019-10-29,星期二,21,14
302,2019-10-30,星期三,22,14
303,2019-10-31,星期四,23,14
304,2019-11-01,星期五,24,16
305,2019-11-02,星期六,23,16
306,2019-11-03,星期日,22,16
307,2019-11-04,星期一,21,14
308,2019-11-05,星期二,19,14
309,2019-11-06,星期三,20,16
310,2019-11-07,星期四,19,13
311,2019-11-08,星期五,18,12
312,2019-11-09,星期六,18,12
313,2019-11-10,星期日,21,12
314,2019-11-11,星期一,21,14
315,2019-11-12,星期二,19,16
316,2019-11-13,星期三,20,12
317,2019-11-14,星期四,17,12
318,2019-11-15,星期五,19,15
319,2019-11-16,星期六,22,18
320,2019-11-17,星期日,24,11
321,2019-11-18,星期一,12,7
322,2019-11-19,星期二,12,8
323,2019-11-20,星期三,15,13
324,2019-11-21,星期四,17,13
325,2019-11-22,星期五,21,17
326,2019-11-23,星期六,20,16
327,2019-11-24,星期日,22,9
328,2019-11-25,星期一,10,7
329,2019-11-26,星期二,12,9
330,2019-11-27,星期三,10,8
331,2019-11-28,星期四,11,8
332,2019-11-29,星期五,12,10
333,2019-11-30,星期六,13,9
334,2019-12-01,星期日,11,5
335,2019-12-02,星期一,10,3
336,2019-12-03,星期二,10,4
337,2019-12-04,星期三,12,6
338,2019-12-05,星期四,12,6
339,2019-12-06,星期五,10,5
340,2019-12-07,星期六,9,3
341,2019-12-08,星期日,11,5
342,2019-12-09,星期一,15,8
343,2019-12-10,星期二,16,8
344,2019-12-11,星期三,14,6
345,2019-12-12,星期四,13,8
346,2019-12-13,星期五,15,9
347,2019-12-14,星期六,15,10
348,2019-12-15,星期日,16,13
349,2019-12-16,星期一,19,12
350,2019-12-17,星期二,14,7
351,2019-12-18,星期三,9,6
352,2019-12-19,星期四,8,4
353,2019-12-20,星期五,9,8
354,2019-12-21,星期六,9,9
355,2019-12-22,星期日,12,8
356,2019-12-23,星期一,13,9
357,2019-12-24,星期二,11,10
358,2019-12-25,星期三,15,9
359,2019-12-26,星期四,10,4
360,2019-12-27,星期五,8,4
361,2019-12-28,星期六,12,10
362,2019-12-29,星期日,15,9
363,2019-12-30,星期一,12,3
364,2019-12-31,星期二,6,2
