排名,名称,热度,关注人数,浏览量,标签,链接
23,2020 年 618 买手机有哪些建议和推荐？,356 万热度,1164,438995,"['iPhone', '手机', 'Android 手机', '数码', '购机咨询']",https://www.zhihu.com/question/393044483
24,有哪些少见的高端水果？,353 万热度,890,414332,"['食物', '水果', '吃货', '吃喝玩乐']",https://www.zhihu.com/question/25022797
25,常见的社会潜规则有哪些？,333 万热度,39286,16212748,"['常识', '行业', '社会', '潜规则']",https://www.zhihu.com/question/19605307
26,特朗普儿子抛出惊人言论「新冠病毒 11 月就会神奇消失」，你怎么看？,299 万热度,632,626367,"['美国', '美国政治', '唐纳德·约翰·特朗普（Donald J. Trump）']",https://www.zhihu.com/question/395559051
27,欧美娱乐圈有哪些公认的美人？,298 万热度,531,592768,"['电影', '美女', '欧美流行音乐', '演员', '美国电影']",https://www.zhihu.com/question/267116569
28,你如何看待 QQ 的这次更新？,284 万热度,2491,6185162,"['腾讯 QQ', 'QQ 手机', '手机 QQ']",https://www.zhihu.com/question/388042640
29,如何看待王雨馨发文道歉，表示「跟黄景瑜有过一段婚姻」？,280 万热度,370,227963,"['情感', '离婚', '娱乐', '明星八卦', '黄景瑜']",https://www.zhihu.com/question/395937061
30,如何看待 Moderna 疫苗试验显示出病毒免疫反应的早期迹象，美股应声大涨？,273 万热度,178,115671,"['疫苗', '生物病毒', '病毒学', '新型冠状病毒']",https://www.zhihu.com/question/395732622
31,iPhone 12 值得等待吗?,228 万热度,594,1073085,"['苹果产品', '数码产品', '电子数码产品']",https://www.zhihu.com/question/366574366
32,骑电动车要戴头盔了，大家有推荐的吗？,220 万热度,75,37262,"['电动自行车', '电动车', '头盔', '智能电动车']",https://www.zhihu.com/question/395233154
33,把所有汉字叠写起来最后会留下空白吗？,214 万热度,539,755744,"['汉字', '书写系统', '文字改革']",https://www.zhihu.com/question/394175264
34,如何评价赵露思丁禹兮的新剧《传闻中的陈芊芊》？,212 万热度,80,71561,"['电视剧', '赵露思', '传闻中的陈芊芊（电视剧）']",https://www.zhihu.com/question/392866300
35,如何评价张子枫在《向往的生活》第四季中的表现，不会耽误她的高考吗？,202 万热度,432,1577238,"['芒果TV', '向往的生活 第一季（综艺）', '向往的生活 第二季（综艺）', '张子枫', '向往的生活 第四季（综艺）']",https://www.zhihu.com/question/387351090
36,研究生学历真的重要吗?,197 万热度,12915,12728018,"['大学生', '研究生', '职业规划', '考研', '个人成长']",https://www.zhihu.com/question/346149746
37,公司如何保护源代码不被员工泄漏？,185 万热度,352,216516,"['PHP', 'Java', '加密', 'C++', '代码安全']",https://www.zhihu.com/question/54423554
38,你的男朋友会喜欢你怎么穿？,183 万热度,365,270867,"['时尚', '服饰搭配', '着装风格', '着装打扮', '穿衣打扮']",https://www.zhihu.com/question/392358360
39,如何看待最近 ACG 圈很火的「水兵月重绘挑战」？,183 万热度,182,85042,"['动画', 'ACG', 'ACG 文化', '美少女战士（动画）']",https://www.zhihu.com/question/395835941
40,面试时怎样自我介绍比较好？,182 万热度,22885,5724901,"['人力资源（HR）', '大学生就业', '毕业生']",https://www.zhihu.com/question/20602526
41,传统武术真的无人能打了吗，所谓高手在民间如今在哪里？,177 万热度,286,595002,"['咏春', '散打', '综合格斗', '传统武术']",https://www.zhihu.com/question/270950654
42,黄景瑜是什么情况？,169 万热度,264,273659,"['上瘾（网剧）', '黄景瑜', '许魏洲']",https://www.zhihu.com/question/395568046
43,如何看待苏州外国语学校常熟校区英语老师发音问题？,168 万热度,91,56294,"['发音', '苏州', '外国语学校', '常熟', '苏州外国语学校']",https://www.zhihu.com/question/395727460
44,山西方言「一个度捣死你」是啥意思啊？,164 万热度,1176,128923,"['方言', '北方方言', '山西']",https://www.zhihu.com/question/371845410
45,为什么零食节，李佳琦的观看人数比薇娅少很多？,160 万热度,200,133140,"['零食购物', '直播营销', '网红电商', '李佳琦', '薇娅']",https://www.zhihu.com/question/395638931
46,黄景瑜前妻助理晒出后续高清结婚照和自杀诊断书，从中可以得到哪些信息？,160 万热度,96,134722,"['结婚照', '黄景瑜']",https://www.zhihu.com/question/395807591
47,日本影视剧中家里都有浴缸，日本的水费贵吗？为什么中国现在基本不用浴缸了呢？,158 万热度,95,169021,"['日本', '日本漫画', '日剧']",https://www.zhihu.com/question/300730379
48,如何看待 iQOOZ1 首发搭载天玑 1000Plus 芯片？,142 万热度,71,56867,"['手机', '联发科 (MTK) 芯片', '手机芯片', 'iQOO', '联发科天玑 1000+']",https://www.zhihu.com/question/395487146
49,现实中你会嫁给《知否》里顾廷烨这样的人吗？,139 万热度,643,2168003,"['知否？知否？应是绿肥红瘦（电视剧）', '知否知否应是绿肥红瘦（网络小说）', '顾廷烨']",https://www.zhihu.com/question/365391317
50,如何看待最高法规定未成年人网络打赏可以退还？,112 万热度,321,102554,"['互联网', '法律', '娱乐', '未成年人', '直播']",https://www.zhihu.com/question/395899493
